Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
sample13082_S44_L001_R1_001	(1.0, 6.436280080629775)	(2.0, 2.085424426176473)	(3.0, 1.1422551451252996)	(4.0, 0.7399357948088361)	(5.0, 0.597257592222379)	(6.0, 0.5773490058149663)	(7.0, 0.4122736435201699)	(8.0, 0.45789748737049046)	(9.0, 0.34342311552786786)	('>10', 7.620011447437185)	('>50', 6.666887873182305)	('>100', 20.45358396031555)	('>500', 11.21599986727609)	('>1k', 41.251420560592614)	('>5k', 0.0)	('>10k+', 0.0)
sample13082_S44_L001_R2_001	(1.0, 15.72446516412141)	(2.0, 2.115287305787592)	(3.0, 1.2169123441530971)	(4.0, 0.8295244336421929)	(5.0, 0.593109970054168)	(6.0, 0.49771466018531574)	(7.0, 0.43550032766215124)	(8.0, 0.2787202097037768)	(9.0, 0.27623163640285026)	('>10', 5.839852012841038)	('>50', 6.845235626415376)	('>100', 26.036283398727512)	('>500', 7.965093611832337)	('>1k', 31.346069298471186)	('>5k', 0.0)	('>10k+', 0.0)
sample13083_S45_L001_R1_001	(1.0, 5.6511107142366495)	(2.0, 1.8340179417785165)	(3.0, 1.098350070750505)	(4.0, 0.8160349493756096)	(5.0, 0.631946257092223)	(6.0, 0.4203816405874352)	(7.0, 0.34138835845090737)	(8.0, 0.329711090656812)	(9.0, 0.3771070599387287)	('>10', 6.926680496215192)	('>50', 3.936613042821228)	('>100', 16.12630682364578)	('>500', 11.682762978939703)	('>1k', 49.8275885755107)	('>5k', 0.0)	('>10k+', 0.0)
sample13083_S45_L001_R2_001	(1.0, 15.94565262189007)	(2.0, 2.3849102224176066)	(3.0, 1.378604497808795)	(4.0, 0.9341814235276339)	(5.0, 0.7384154634501517)	(6.0, 0.7047574562789356)	(7.0, 0.49525353409075296)	(8.0, 0.576994408649421)	(9.0, 0.46365622123614186)	('>10', 10.738964981934581)	('>50', 6.114080037367256)	('>100', 43.56445164924235)	('>500', 12.169086837658503)	('>1k', 3.7909906444478025)	('>5k', 0.0)	('>10k+', 0.0)
sample13084_S46_L001_R1_001	(1.0, 6.4037171344110435)	(2.0, 1.9791953654958787)	(3.0, 1.0677826012494693)	(4.0, 0.7624891099577802)	(5.0, 0.6440948047983202)	(6.0, 0.3752876088073449)	(7.0, 0.34401364140673285)	(8.0, 0.32763203943498365)	(9.0, 0.3752876088073449)	('>10', 7.857956618539506)	('>50', 4.784917012293648)	('>100', 20.076397834650066)	('>500', 12.583304169117701)	('>1k', 42.41792445103018)	('>5k', 0.0)	('>10k+', 0.0)
sample13084_S46_L001_R2_001	(1.0, 19.69068557004252)	(2.0, 2.583825401907712)	(3.0, 1.5368921122586505)	(4.0, 1.081185730135446)	(5.0, 0.915880473875068)	(6.0, 0.7148335405854189)	(7.0, 0.6984519386136697)	(8.0, 0.6373932403553318)	(9.0, 0.6299470576409003)	('>10', 14.338369434909193)	('>50', 7.900399860011766)	('>100', 41.169944228091474)	('>500', 8.102191411572857)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample13085_S47_L001_R1_001	(1.0, 5.888636008840759)	(2.0, 1.8864669005578882)	(3.0, 1.0377211216919044)	(4.0, 0.7591878990050037)	(5.0, 0.6203321036242184)	(6.0, 0.48804936364607376)	(7.0, 0.39109679645712314)	(8.0, 0.39438332415844346)	(9.0, 0.3253662424307159)	('>10', 7.2624045879926715)	('>50', 3.7934745992490284)	('>100', 21.10443763402871)	('>500', 9.146406592774568)	('>1k', 37.671823776384656)	('>5k', 9.230213049158237)	('>10k+', 0.0)
sample13085_S47_L001_R2_001	(1.0, 16.317610037055598)	(2.0, 2.4714688313929125)	(3.0, 1.4715427782661923)	(4.0, 0.9826717826947884)	(5.0, 0.8339564042100419)	(6.0, 0.6359431102054901)	(7.0, 0.6269051590268592)	(8.0, 0.6178672078482281)	(9.0, 0.48804936364607376)	('>10', 15.30535950504893)	('>50', 9.594195992079468)	('>100', 25.991504325892084)	('>500', 18.094799891544586)	('>1k', 6.568125611088744)	('>5k', 0.0)	('>10k+', 0.0)
sample13086_S48_L001_R1_001	(1.0, 6.414078435582569)	(2.0, 1.9588250353034444)	(3.0, 1.1916460901951393)	(4.0, 0.8720570140305386)	(5.0, 0.6234877325691824)	(6.0, 0.5995391971459952)	(7.0, 0.44511243424475405)	(8.0, 0.4228155219542005)	(9.0, 0.2749952515834937)	('>10', 8.723047575004335)	('>50', 5.273632662499071)	('>100', 21.037549651920425)	('>500', 10.32842525992419)	('>1k', 41.83478813804266)	('>5k', 0.0)	('>10k+', 0.0)
sample13086_S48_L001_R2_001	(1.0, 18.125738069087397)	(2.0, 2.7829849784876086)	(3.0, 1.5409643827471449)	(4.0, 1.1297102227213796)	(5.0, 0.9661995325906534)	(6.0, 0.8225083200515306)	(7.0, 0.7457078443840685)	(8.0, 0.6276167904007663)	(9.0, 0.7952565383630763)	('>10', 14.60447755031257)	('>50', 6.646131485717589)	('>100', 44.053743816735896)	('>500', 7.15896046840032)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
