#Classification	sample12835	sample12836	sample12837	sample12838	sample12839	sample12840	sample12841	sample12842	sample12843	sample12844	sample12973	sample12974	sample12975	sample13079	sample13080	sample13081	sample13082	sample13083	sample13084	sample13085	sample13086	sample13087	sample13088	sample13225	sample13226	sample13227	sample13228	sample13229	sample13230	sample13231	sample13232	sample13233	sample13234	sample5278	sample5279	sample5280	sample5281	sample5282	sample5428	sample5429	sample5430	sample5431	sample5432	sample5926	sample5927	sample5928	sample5929	sample5930	sample6076	sample6077	sample6078	sample6079	sample6080	sample6285	sample6286	sample6287	sample6288	sample6289	sample6290	sample6291	sample6292	sample6293	sample6294	sample6615	sample6616	sample6617	sample6618	sample6619	sample6620	sample6621	sample6622	sample6623	sample6624
Noviherbaspirillum	0	0	4	0	0	0	0	0	0	26	0	0	0	29	19	12	35	24	67	24	45	74	92	0	0	0	0	0	0	0	0	0	0	11	38	42	17	35	0	0	0	0	0	35	48	76	43	40	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Janthinobacterium	0	1	4	11	0	0	0	30	0	0	0	0	0	52	44	5	0	21	23	4	8	0	5	8	123	33	8	3	5	5	4	80	20	22	357	248	88	19	70	49	1730	24	0	25	29	31	37	14	14	113	49	150	8	0	3	1	0	0	2	0	56	1	0	0	0	0	1	0	0	0	0	1	0
Oxalobacter	0	2	14	0	0	0	0	0	0	0	0	0	0	0	5	0	6	0	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glaciimonas	0	5	357	0	1	0	0	0	0	0	0	0	0	0	0	1	24	0	1	27	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Collimonas	0	11	4	0	0	0	0	0	0	0	0	0	0	5	13	41	63	52	41	15	43	16	12	0	0	0	0	0	0	0	0	0	0	8	23	13	18	23	0	0	0	0	0	7	12	9	9	10	0	0	0	0	0	1	0	0	0	4	0	1	8	54	4	0	0	0	0	0	0	0	0	0	0
Pseudoduganella	0	65	130	61	0	14	0	6	41	40	0	0	0	25	76	67	38	120	538	0	133	421	507	0	0	0	0	0	0	0	0	0	0	669	1270	488	672	980	0	0	0	0	0	1102	1083	461	515	744	0	0	0	0	0	0	0	0	8	0	16	0	92	101	66	0	0	0	0	0	0	0	0	0	0
Herbaspirillum	2	7	5	6	4	4	4	0	1	1	0	0	0	3	4	13	52	79	9	24	35	4	22	0	0	0	0	0	0	0	0	0	0	4	6	40	5	11	0	0	0	0	0	8	14	3	2	9	0	0	0	0	0	1	6	0	5	28	58	189	383	365	1750	0	0	0	0	0	0	0	0	0	0
Duganella	3	7	250	5	60	1	0	0	0	0	0	0	0	0	0	5	11	16	46	32	14	6	36	0	0	0	0	0	0	0	0	0	0	6	3	1	2	4	0	0	0	0	0	16	1	4	5	16	0	0	0	0	0	0	0	1	0	0	1	0	33	48	0	0	0	0	0	0	0	0	0	0	0
Massilia	15	58	21768	31	337	3	114	450	194	85	1	0	0	206	883	419	982	1789	715	2009	561	75	820	0	0	0	0	0	0	1	0	0	0	410	2728	1490	936	1086	0	0	0	0	0	1142	24	688	418	255	0	0	0	0	0	8	0	28	51	0	69	0	75	1167	8	0	0	0	0	0	0	0	0	1	0
Pandoraea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	185	0	0	2	0	551	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pararobbsia	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Ephemeroptericola	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus_Vallotia	0	0	0	0	9	0	0	1	2	30	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	6	0	0	0	0	0	0	0	0	0	0	0	0
Limnobacter	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	8	3	0	4	1	5	0	0	0	0	0	0	0	0	0	0	1	2	2	1	4	0	0	0	0	0	0	10	1	2	5	0	0	0	0	0	2	1	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0
Lautropia	0	0	4	0	0	0	0	0	0	0	0	0	0	44	18	28	13	69	38	5	36	43	36	0	0	0	0	0	0	0	0	0	0	7	29	38	51	30	0	0	0	0	0	11	9	15	17	40	0	0	0	0	0	1	0	0	1	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0
Mycoavidus	0	1	2	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycetohabitans	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia	111	312	1427	124	7497	1912	335	1311	1675	21776	0	0	0	1333	713	199	528	497	466	4537	443	2899	889	0	0	2	0	1	1	5	10	0	0	505	258	685	447	783	0	0	1	3	0	549	522	749	607	1200	1	2	0	0	0	2098	71	380	16	0	6175	12	20490	257	568	0	0	0	0	0	0	0	0	0	0
Cupriavidus	1	0	47	2	68	43	1104	2	561	103	0	0	0	513	229	73	69	87	161	5	97	117	57	0	1	0	0	0	0	0	0	0	0	27	58	129	132	103	0	0	0	0	0	260	59	94	177	45	0	0	0	0	0	0	3	2	0	42	0	30	60	0	16	0	0	0	0	0	0	0	0	0	0
Polynucleobacter	2	4	3	2	1	18	0	2	0	1	0	0	0	0	1	0	0	2	3	5	4	0	23	0	0	0	0	0	0	0	0	0	0	2	4	5	4	2	0	0	0	0	0	5	6	6	0	1	0	0	0	0	0	1	0	0	2	2	31	24	24	24	11	0	0	0	0	0	0	0	0	0	0
Caballeronia	2	0	99	0	5	0	0	0	0	3	0	0	0	2	15	21	119	32	24	345	16	11	13	0	0	0	0	0	0	0	0	0	0	13	14	9	12	26	0	0	0	0	0	28	6	2	4	24	0	0	0	0	0	104	0	0	1	0	165	10	34	63	0	0	0	0	0	0	0	0	0	0	0
Robbsia	3	0	3	0	2	0	0	0	1	8	0	0	0	2	26	18	18	35	38	15	23	15	44	0	0	0	0	0	0	0	0	0	0	14	12	34	18	32	0	0	0	0	0	23	11	20	20	22	0	0	0	0	0	0	0	0	0	0	2	0	4	1	1	0	0	0	0	0	0	0	0	0	0
Ralstonia	6	4	212	3	54	0	219	298	385	90	1	0	0	288	385	638	1128	367	533	1398	669	191	237	0	0	0	0	0	0	0	0	0	0	176	410	1047	1013	603	0	0	0	0	0	537	504	864	656	660	0	0	0	0	0	1182	708	369	1360	1398	257	1013	1813	409	2031	0	0	0	0	0	0	0	0	0	0
Paraburkholderia	8	13	228	4	25	132	0	68	21	33	0	0	0	120	557	254	369	311	183	987	323	51	52	0	0	0	0	0	0	0	0	1	0	69	130	218	222	311	0	0	0	1	0	89	86	125	141	142	0	0	0	0	2	7968	35	195	46	521	22756	39	413	432	19396	0	0	1	0	0	0	0	0	0	1
Candidatus_Xianfuyuplasma	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycoplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	5	2	4	0	0	1	5	4	0	0	0	0	0	0	0	0	0	0	13	23	8	15	28	0	0	0	0	0	2	0	5	11	24	0	0	0	0	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0
Haploplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acholeplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	11	19	24	14	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
