Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
sample13082_S44_L001_R1_001	(1.0, 5.148248523582234)	(2.0, 1.7717013186635384)	(3.0, 1.0527060917401505)	(4.0, 0.6148369872987622)	(5.0, 0.5258474233476256)	(6.0, 0.4307903891270933)	(7.0, 0.4318016341719926)	(8.0, 0.37213817652293507)	(9.0, 0.34584580535555376)	('>10', 8.071757948386054)	('>50', 6.701520912547529)	('>100', 24.092913194725345)	('>500', 9.193228703179354)	('>1k', 41.24666289135183)	('>5k', 0.0)	('>10k+', 0.0)
sample13082_S44_L001_R2_001	(1.0, 5.896569856807702)	(2.0, 1.7494539276757544)	(3.0, 0.9798964485074023)	(4.0, 0.6148369872987622)	(5.0, 0.5106787476741365)	(6.0, 0.4429253296658846)	(7.0, 0.4034867729148127)	(8.0, 0.23460885041663293)	(9.0, 0.29123857293099265)	('>10', 6.838038993608932)	('>50', 7.8391715880592185)	('>100', 29.553636437181456)	('>500', 10.381441630936008)	('>1k', 34.2640158563223)	('>5k', 0.0)	('>10k+', 0.0)
sample13083_S45_L001_R1_001	(1.0, 4.476611604698113)	(2.0, 1.6428682354287394)	(3.0, 0.9685566462602271)	(4.0, 0.6669554627412196)	(5.0, 0.48632169158213934)	(6.0, 0.3187654785160241)	(7.0, 0.34328589994033365)	(8.0, 0.3269389523241273)	(9.0, 0.36045019493735037)	('>10', 6.9204802733209645)	('>50', 4.215877790219621)	('>100', 19.071166436447154)	('>500', 10.664748624813033)	('>1k', 49.53697270877095)	('>5k', 0.0)	('>10k+', 0.0)
sample13083_S45_L001_R2_001	(1.0, 6.949087431649326)	(2.0, 2.0711582629733463)	(3.0, 1.2775139562065274)	(4.0, 0.8892739503216263)	(5.0, 0.7805667486738539)	(6.0, 0.6718595470260815)	(7.0, 0.5492574399045338)	(8.0, 0.7388820322525277)	(9.0, 0.43401145921027895)	('>10', 12.404881198558199)	('>50', 6.7006138278829885)	('>100', 50.41725583790366)	('>500', 12.601044569952677)	('>1k', 3.514593737484368)	('>5k', 0.0)	('>10k+', 0.0)
sample13084_S46_L001_R1_001	(1.0, 5.00073459193418)	(2.0, 1.639976493058106)	(3.0, 0.9338499963270402)	(4.0, 0.6464409020788953)	(5.0, 0.4958495555718799)	(6.0, 0.28649085433041943)	(7.0, 0.34066700947623596)	(8.0, 0.3893337251156982)	(9.0, 0.3305663703812532)	('>10', 7.828913538529347)	('>50', 4.550797032248586)	('>100', 24.439873650187323)	('>500', 11.14926908102549)	('>1k', 41.96723719973555)	('>5k', 0.0)	('>10k+', 0.0)
sample13084_S46_L001_R2_001	(1.0, 8.193454785866452)	(2.0, 2.374568427238669)	(3.0, 1.5316241827664732)	(4.0, 1.1533093366634835)	(5.0, 0.9549695144347315)	(6.0, 0.8925292000293837)	(7.0, 0.7777492103136708)	(8.0, 0.8741644016748696)	(9.0, 0.7520384926173511)	('>10', 16.93418056269742)	('>50', 9.31370748549181)	('>100', 49.706163226327774)	('>500', 6.541541173877912)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample13085_S47_L001_R1_001	(1.0, 4.654593052787872)	(2.0, 1.6352127534872818)	(3.0, 0.9436173953815497)	(4.0, 0.6486148556245849)	(5.0, 0.4786465049036846)	(6.0, 0.4337123432188489)	(7.0, 0.4307818544133161)	(8.0, 0.35947329347868556)	(9.0, 0.26374399249794866)	('>10', 7.144531707888876)	('>50', 4.313679521744227)	('>100', 21.961083108662525)	('>500', 11.424999023170399)	('>1k', 40.04415269800336)	('>5k', 5.263157894736842)	('>10k+', 0.0)
sample13085_S47_L001_R2_001	(1.0, 7.856640487633337)	(2.0, 2.2935959051303088)	(3.0, 1.2923455632399483)	(4.0, 1.0510686515844176)	(5.0, 0.9133356777243776)	(6.0, 0.7970929551049114)	(7.0, 0.6085648419489704)	(8.0, 0.6408002188098308)	(9.0, 0.6681514476614699)	('>10', 17.707967022232644)	('>50', 10.853553706091509)	('>100', 29.635056460750985)	('>500', 22.546204040167233)	('>1k', 3.135623021920056)	('>5k', 0.0)	('>10k+', 0.0)
sample13086_S48_L001_R1_001	(1.0, 5.153778947058419)	(2.0, 1.7670099247057438)	(3.0, 0.9806905082116879)	(4.0, 0.7735576781489589)	(5.0, 0.5644615037254459)	(6.0, 0.4712026465881983)	(7.0, 0.46727595786663)	(8.0, 0.37696211727055867)	(9.0, 0.282721587952919)	('>10', 9.308215614477701)	('>50', 4.831790471889817)	('>100', 22.845474982084482)	('>500', 10.352714814414874)	('>1k', 41.82414324560456)	('>5k', 0.0)	('>10k+', 0.0)
sample13086_S48_L001_R2_001	(1.0, 8.876279855105187)	(2.0, 2.6308814434507743)	(3.0, 1.5078484690822347)	(4.0, 1.1701532390273592)	(5.0, 1.0651143157254066)	(6.0, 0.8599448300234619)	(7.0, 0.8314763367920917)	(8.0, 0.8167512540862105)	(9.0, 0.8835049623528719)	('>10', 16.808191072673193)	('>50', 7.419478339403341)	('>100', 49.943553849627456)	('>500', 7.186822032650417)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample13087_S49_L001_R1_001	(1.0, 3.837471783295711)	(2.0, 1.3528969149736643)	(3.0, 0.7562076749435667)	(4.0, 0.617005267118134)	(5.0, 0.3762227238525207)	(6.0, 0.3972911963882619)	(7.0, 0.363431151241535)	(8.0, 0.2949586155003762)	(9.0, 0.2979683972911964)	('>10', 6.659142212189615)	('>50', 3.862302483069977)	('>100', 19.895410082769)	('>500', 10.81489841986456)	('>1k', 42.54853273137697)	('>5k', 7.926260346124906)	('>10k+', 0.0)
