Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
sample12974_S189_L001_R2_001	sample12974_S189_L001_R2_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	763.0	174.8 kbp	0.0	51-250	50.0	9.043250327653997	228.68741808650066	247	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample12975_S190_L001_R1_001	sample12975_S190_L001_R1_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1214.0	289.3 kbp	0.0	50-250	50.0	10.131795716639209	238.3657331136738	250	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample12975_S190_L001_R2_001	sample12975_S190_L001_R2_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1214.0	275.8 kbp	0.0	50-250	50.0	7.331136738056013	226.35708401976936	247	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample13079_S41_L001_R1_001	sample13079_S41_L001_R1_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107026.0	25.4 Mbp	0.0	50-250	56.0	7.008577355035225	236.71446190645264	247	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
sample13079_S41_L001_R2_001	sample13079_S41_L001_R2_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107026.0	23.8 Mbp	0.0	50-250	56.0	11.203819632612637	221.72573019640086	247	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
sample13080_S42_L001_R1_001	sample13080_S42_L001_R1_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	147259.0	34.9 Mbp	0.0	50-250	56.0	6.595182637393979	236.2695590761855	247	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
sample13080_S42_L001_R2_001	sample13080_S42_L001_R2_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	147259.0	32.6 Mbp	0.0	50-250	55.0	8.771620070759683	220.89127998967805	247	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
sample13081_S43_L001_R1_001	sample13081_S43_L001_R1_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89919.0	21.3 Mbp	0.0	50-250	56.0	7.631312625807671	236.60684616154538	247	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
sample13081_S43_L001_R2_001	sample13081_S43_L001_R2_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89919.0	19.9 Mbp	0.0	50-250	55.0	8.752321533824887	221.45185111044384	247	pass	warn	fail	pass	fail	warn	pass	warn	fail	fail	pass
sample13082_S44_L001_R1_001	sample13082_S44_L001_R1_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98888.0	23.6 Mbp	0.0	50-250	56.0	7.469055901626081	237.9741980826794	247	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
sample13082_S44_L001_R2_001	sample13082_S44_L001_R2_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98888.0	22 Mbp	0.0	50-250	55.0	8.127376425855513	221.94069553434187	247	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
